strategy,args,step,mAP,train_time,active_time,total_time,total_samples,bboxes
random_sampling,{},0,0.1516743032169418,665.3425517082214,0,665.3425517082214,1000,2629
random_sampling,{},1,0.26793410388131245,583.0473852157593,0.0021381378173828125,583.0495233535767,1300,3435
random_sampling,{},2,0.3289509548393081,711.9540908336639,0.0053517818450927734,711.959442615509,1600,4129
random_sampling,{},3,0.3747912889358908,661.9917483329773,0.004075288772583008,661.9958236217499,1900,4957
random_sampling,{},4,0.40085088855021606,558.114551782608,0.014367341995239258,558.1289191246033,2200,5741
random_sampling,{},5,0.4173544626244296,563.3217315673828,0.004214763641357422,563.3259463310242,2500,6569
random_sampling,{},6,0.4264372693940068,576.3360080718994,0.00266265869140625,576.3386707305908,2800,7479
random_sampling,{},7,0.44461384582662855,756.9919221401215,0.002804994583129883,756.9947271347046,3100,8247
random_sampling,{},8,0.45648802567507935,663.4326040744781,0.028137922286987305,663.4607419967651,3400,9131
random_sampling,{},9,0.46854315733354657,613.1425015926361,0.0027074813842773438,613.1452090740204,3700,9823
random_sampling,{},10,0.4683507408302058,565.0564777851105,0.0036919116973876953,565.0601696968079,4000,10613
random_sampling,{},11,0.48338299662078754,593.1368477344513,0.0029342174530029297,593.1397819519043,4300,11399
random_sampling,{},12,0.4869526256113955,597.5418953895569,0.004950284957885742,597.5468456745148,4600,12259
random_sampling,{},13,0.48462242333137756,587.8031892776489,0.003149271011352539,587.8063385486603,4900,12987
random_sampling,{},14,0.4950323331042636,575.5238990783691,0.0029964447021484375,575.5268955230713,5200,13857
random_sampling,{},15,0.4972723307801571,562.1366486549377,0.008689641952514648,562.1453382968903,5500,14663
random_sampling,{},16,0.49152475730209294,562.5930554866791,0.003084897994995117,562.5961403846741,5800,15545
random_sampling,{},17,0.49431299015776187,561.7521736621857,0.0032186508178710938,561.7553923130035,6100,16463
random_sampling,{},18,0.5178530412193022,563.7014570236206,0.005036354064941406,563.7064933776855,6400,17189
random_sampling,{},19,0.5085818614154483,558.4372837543488,0.0038537979125976562,558.4411375522614,6700,17963
